MAIN_ID,ra,dec,pmRA,pmDE,Vmag,Umag
HD  90206,156.3773693116640,+36.2045523743045,-24.691,-23.030,6.63,
HD 189825,300.5439935061995,-04.9897818022245,15.853,-7.456,6.71,
*  26 Cir,223.1468885162895,-63.8098381045408,-4.779,-5.108,5.96,
HD  86029,148.9374936735508,-08.8364949916695,-6.320,2.500,6.67,
HD 172169,279.3698796257182,+29.5848621251658,-31.180,90.661,6.698,
V* V389 Car,110.4212063475456,-61.9514112764568,-23.04,29.20,6.91,
* f Eri A,057.1494775681367,-37.6201510646178,80.678,-5.007,4.72,
*  30 Oph,255.2650059074290,-04.2226474494933,-39.13,-78.09,4.812,
HD 197497,311.1386412611403,-14.1858037112266,19.737,-16.550,6.89,
HD  91619,158.3557866452152,-58.1901484703682,-7.309,3.176,6.26,6.21
*   9 Boo,209.1424184945606,+27.4920792052781,28.665,-47.779,5.000,8.160
HD  34853,080.9304729466020,+56.0888999789345,13.679,6.947,6.86,
HD 208906,329.6701331288681,+29.8126270653907,-362.780,-386.385,6.96,7.35
V* V1022 Cas,359.2853016137398,+55.7057043416665,-21.065,-12.090,5.561,
*  12 Sco A,243.0668194362442,-28.4172935876011,-15.673,-45.333,5.80,
*  23 Crt,174.2550329256839,-32.9882075589915,-8.810,-77.842,6.318,
* o Per,055.5943564692,+33.9650248119,2.71,-5.91,4.972,4.13
HD 208629,328.6790569320780,+67.7538053799771,34.309,20.194,6.960,
HD  26739,063.4089460536154,-01.1497375240069,0.725,-3.276,6.423,5.76
HD  98993,170.8028897451901,-36.1647630197107,-30.148,-2.704,4.991,
HD  60574,113.3055200684430,-43.0861989459443,2.784,-25.961,6.524,
HD  22417,054.6122215414567,+49.2056725240804,14.549,-15.100,6.87,
HD 126269,216.0469215586128,+16.2736807943191,-29.524,8.144,6.923,
HD 100954,174.2417246409294,-38.9595408336311,-24.064,-2.705,6.94,
HD 154955,255.1153742060219,+75.2251512896509,42.985,-46.201,6.97,
HD  71115,126.4781974185887,+07.5645068647077,-34.780,-10.775,5.122,
V* RV Sco,254.58229096,-33.60910672,4.27,-5.98,6.61,7.79
HD  29949,072.0813850386809,+67.7633022516618,57.403,-81.064,6.99,
* b Vel,130.1565423796,-46.6487436103,-6.05,4.66,3.81,4.86
* pi. And,009.2202052354,+33.7193439994,14.75,-3.51,4.36,3.65
HD  92692,160.2210510740902,-57.9355925627363,-6.933,2.881,6.99,8.46
V* PY Pup,120.1206706444568,-48.8717654034225,-6.191,2.089,6.107,
HD  63838,117.7225998087894,+00.0795558059517,22.983,7.233,6.37,
HD  46296,098.5807249964316,+38.0760055405274,8.278,-7.733,6.660,8.410
HD  59603,112.7865947344020,+11.2029799701625,-20.090,-13.588,6.36,
*  29 Ser,236.5999661947328,+15.5267009626093,-20.672,5.729,6.69,
* del Oph,243.58641053,-03.69432256,-47.54,-142.73,2.75,6.30
HD 213155,337.5656046018495,-42.2910690161160,31.374,-0.359,6.916,
[SC93] 560,106.10,+15.37,,,6.99,
HD 148374B,245.946362921,+61.696738583,-35.1,29.4,6.98,
*  35 Psc,003.7451687142046,+08.8209608606358,99.803,-24.694,6.01,
HD 163532,269.1989338338366,-04.0818204294439,-6.864,-8.395,5.439,
HD 219639,349.3682029532308,-16.1722000811022,22.963,-4.956,6.70,6
* eps Lib,231.0495186857085,-10.3222618654052,-66.52,-154.24,4.920,
V* IW Vel,164.2826955534524,-50.7650172862016,-37.855,13.037,5.898,
* tet02 Cru,181.0800926500065,-63.1656942789759,-19.377,-0.707,4.716,4.02
HD  81471,140.9972229532183,-51.7370811466783,-4.895,3.853,6.086,6.89
* l Ori,094.2775850065214,+09.9423932916783,7.295,-60.979,5.386,
HD 201057,316.9362261775783,-17.4559024863895,29.085,-46.763,6.17,
* 104 Vir,216.8516120066007,-06.1203371538035,-73.522,-62.418,6.161,
HD 118285,204.7999612616468,-75.6837808799179,-20.806,-14.815,6.323,6.09
HD   8142,020.1693691770829,-13.8899911795339,39.551,11.993,6.83,
V* PS Vul,295.9832173575869,+27.1354081804807,-1.624,-7.073,6.364,
HD  30743,072.4260170123055,-13.7696687509613,-120.608,-172.278,6.26,
HD  17414,041.9975654217493,+15.5080202999111,6.926,-26.124,6.670,9.570
HD  87436,150.7497587027036,-60.1786749713043,-7.707,3.263,6.19,
HD 209380,330.6604372636465,+15.9864974996815,9.376,-23.785,6.690,6.53
HD 171606,276.0354423124589,+79.2226975735715,-13.471,63.234,6.538,
HD 120544,207.6441415685740,-19.8979003550421,-35.370,7.823,6.55,
HD 210622,333.1245036521319,-40.2031657253527,14.251,-61.147,6.59,
* eta And,014.3016674271,+23.4176487853,-43.47,-45.73,4.42,6.05
HD  36848,083.2142204863056,-38.5133663893167,48.551,-11.694,5.456,
* bet02 Tuc B,007.889010633,-62.965470919,94.9,-48.6,6.54,
* ksi02 Cet,037.0398210789746,+08.4600602248073,23.707,-4.787,4.30,4.14
HD   5526,014.4151865211940,+45.8393790652451,11.040,-5.926,6.086,
HD  38804,086.7690707802857,-28.6389129924752,-6.444,10.241,6.23,
HD 119214,205.1806587667498,+52.7718476167175,21.047,-16.567,6.88,
HD 173415,280.7109877645562,+47.5752291617285,33.286,35.526,6.94,
* pi. Men,084.2911880010838,-80.4691198186792,311.187,1048.845,5.67,
HD 144591,242.0182466236435,-36.2318316518145,-16.879,-28.040,6.74,
HD  38002,085.6371606226869,-00.0160942781553,1.574,-12.399,6.85,
* tau CMa,109.6770267463,-24.9543725831,-2.31,5.02,4.40,3.26
HD 193536,304.7069498092613,+46.3221911835927,-4.894,-8.013,6.443,5.61
*  24 Aqr,324.8813944810975,-00.0511415379300,215.367,17.077,6.63,
V* BD Phe,027.7268129602514,-50.2061371213499,-47.854,-3.698,5.929,
HD  29065,068.5490434892252,-08.9702568289068,-35.868,-111.290,5.229,
HD 160935,265.4488355157270,+21.5014757608303,27.136,-125.832,6.75,
* c Sgr,300.6645040250,-27.7098456267,32.97,14.00,4.58,8.03
HD  16773,040.5769603716167,+34.2947388068563,12.856,21.672,6.94,
HD  26605,063.4987177468359,+37.9671497026253,-49.605,5.368,6.450,8.350
HD 122456,210.3429951530655,+31.5635999710913,-11.969,-38.699,6.863,
* eta Lep,089.1012208508,-14.1676996900,-42.06,139.26,3.72,4.05
* mu. Cas,017.06831127,+54.92034067,3422.23,-1598.93,5.17,5.93
HD  70458,125.5479827215048,+02.1514118716560,7.506,-18.460,6.77,
HD 179791,288.4334644105005,+05.5156034751753,6.819,-9.809,6.49,6.69
HD  34769,080.4878051063872,+42.2859943995087,-4.012,-3.970,6.98,
CCDM J15432+1340AB,235.79387637,+13.66767162,-20.88,-33.81,6.500,7.890
*  67 Oph,270.1613061120053,+02.9315542721127,3.280,-6.401,3.93,3.34
V* BS Cet,040.1107464408275,-14.4491493055354,60.793,3.636,6.70,
HD  50062,102.9140693061609,+03.0419919734079,5.010,-29.624,6.369,
* phi Gru,349.5411861020913,-40.8243620488453,126.920,-122.577,5.537,
HD 148321,247.0629015132006,-25.4540032704188,23.09,7.63,6.968,
HD 210220,331.7901827420470,+58.8407018506295,-20.717,-16.546,6.341,
